method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.0650729876709049,0.0187928411397733,0.0189435911760822,0.0189435875315105,0.559541087278632,0.5583932584938033
"1 : 0.54,0.49",0.0283620529181265,0.0075810411328661,0.0406629289731188,0.0406629682222167,0.5608047817851972,0.5606595930787236
"2 : 0.52,0.6",0.0580340854943751,0.016185221402334,0.023582814033577,0.0235828136191729,0.5582797904325137,0.5583354859808372
"3 : 0.51,0.42",0.0169530600819198,0.0041468222595444,0.0145623862042788,0.0145623874729134,0.5409726948955771,0.5507194039154878
"4 : 0.48,0.44",0.1267248552364611,0.0466803040925691,0.054186737367267,0.0541867623581428,0.6090764369930027,0.5771853570494409
"5 : 0.53,0.43",0.019164912832543,0.0047719653736791,0.0097649052827195,0.0097649110564615,0.5570064659916633,0.5585062664481382
"6 : 0.49,0.53",0.0188747494378516,0.0047035818769124,0.010737788163635,0.0107377871953505,0.553358398431725,0.5576304772887
"7 : 0.58,0.45",0.0248905270541051,0.0063463730594098,0.0161423153203727,0.0161423183775508,0.552821591355083,0.5573268341523732
"8 : 0.59,0.49",0.0501452685327835,0.0150638209440699,0.0425572217986345,0.0425572253155967,0.5632975919337287,0.561626780751798
"9 : 0.48,0.45",0.0856060792729919,0.0260033344612415,0.0387522318579219,0.038752230486045,0.5454186158608783,0.5496183090156931
"10 : 0.56,0.43",0.0254001053889855,0.0065388440485514,0.0251718716756742,0.0251718620671708,0.5586698410611312,0.5594315088853777
"11 : 0.51,0.42",0.0233253709859789,0.005833914554539,0.0138136686026378,0.0138136683196631,0.5462350700173132,0.5528162826193773
"12 : 0.51,0.53",0.0180213986577258,0.0044646407329025,0.0105188936065861,0.0105188900669915,0.5494207651501126,0.5561039597120234
"13 : 0.59,0.43",0.0276508748463809,0.0073471281260646,0.0509686108300662,0.0509685814755178,0.5611569070047324,0.5606065959201695
"14 : 0.41,0.44",0.0148180884311657,0.0036045445374977,0.038242093533976,0.0382421065659988,0.5504549502210835,0.5546783967168823
"15 : 0.42,0.47",0.0247815985936687,0.0063660006881313,0.0170815294808885,0.0170815341507655,0.5684855144496833,0.5622893082615789
"16 : 0.4,0.56",0.1832896238985097,0.0727132984144948,0.1608448152918961,0.1608448231351437,0.5602463161979453,0.5558051992560038
"17 : 0.57,0.42",0.0356161561049906,0.0094130189932832,0.0192947184293792,0.0192947296996943,0.5563539058344861,0.5579790501968453
"18 : 0.56,0.57",0.0150629596473181,0.0036824096936431,0.0111184902032985,0.0111184929075522,0.5447392713569191,0.5543214738556181
"19 : 0.57,0.42",0.0573989511461765,0.0161085636489547,0.0175751433357444,0.0175751534228391,0.5569698448984302,0.5572881549640297
"20 : 0.6,0.6",0.022517943010024,0.0056601960744013,0.0196856340608507,0.01968564384995,0.5499864366366461,0.5564890217722354
"21 : 0.56,0.49",0.1554245758304707,0.0579288084710763,0.0346740143083185,0.0346740070269665,0.6169238658140742,0.5937372468177017
"22 : 0.49,0.6",0.0402680772800875,0.0105326767459626,0.0144666458147167,0.014466644046242,0.5435523237095857,0.5528006635592063
"23 : 0.56,0.52",0.2149013576088154,0.0905560553240238,0.124643158477167,0.1246431547065963,0.6201696242756908,0.5940243273215654
"24 : 0.42,0.55",0.0242655286117194,0.0062210935488608,0.014968448412348,0.0149684624741928,0.5609405325472459,0.560259279669824
"25 : 0.53,0.41",0.0520045517145967,0.0144729861473102,0.0143695417875231,0.0143695415946916,0.5629536926839337,0.5591507840325882
"26 : 0.43,0.46",0.0840381496715918,0.0326373763588381,0.1959320741281963,0.1959319135606789,0.6234368773017278,0.5835768576401865
"27 : 0.59,0.42",0.0265388917826554,0.0069958706137688,0.0501404287834419,0.0501403991715874,0.5609876137336124,0.560551379865751
"28 : 0.5,0.46",0.0196061980889637,0.0048817969051925,0.0087041303513915,0.0087041287840973,0.5543815555374376,0.5572694406085397
"29 : 0.48,0.42",0.2695687069284129,0.1273641126122596,0.1357769221663449,0.1357769384711437,0.6422612692296675,0.594412813921096
"30 : 0.45,0.46",0.0668822649960096,0.0195047768761087,0.0139857703916904,0.0139857709993809,0.5681503991307074,0.5602134577698719
"31 : 0.55,0.48",0.0275772867971671,0.0072044031728782,0.0205778939844373,0.0205778954758517,0.5560256383826157,0.5587990293335989
"32 : 0.49,0.41",0.0489456776702572,0.0150789054979705,0.132163038502604,0.1321630578272432,0.5857656684852496,0.568845174348816
"33 : 0.51,0.54",0.0682044941716098,0.0213581371125339,0.0329461950784445,0.0329462016518127,0.570102241317556,0.5638087722902053
"34 : 0.4,0.51",0.0186922854800442,0.0046361466891049,0.0235728335130628,0.0235728380603199,0.5597474202605324,0.5592378073171546
"35 : 0.52,0.45",0.0232367197350025,0.0058829892183999,0.0099060821230916,0.0099060731658198,0.5556955630189685,0.5579533418277122
"36 : 0.52,0.5",0.0257327594080043,0.0065971106177076,0.012942641345123,0.0129426308535615,0.5529785119882908,0.5574070671120716
"37 : 0.52,0.42",0.0228236373589877,0.0057406609977733,0.0098987620682149,0.0098987590857476,0.5550180777553859,0.5571540225064362
"38 : 0.59,0.52",0.0187375312531142,0.0046611693740734,0.0123964210022028,0.0123964205729348,0.549360702211059,0.5563919519297692
"39 : 0.54,0.59",0.0463860686979949,0.0130396422193487,0.0264043970096624,0.0264044010240772,0.5590777506630984,0.5597761546887721
"40 : 0.47,0.46",0.0245573825191035,0.006162753543756,0.0166483386736349,0.0166483385771222,0.544088759834952,0.5517776915752244
"41 : 0.49,0.53",0.0697865250153155,0.0215020761116475,0.0262435791968079,0.0262435799577709,0.5703598251263724,0.5633316389674082
"42 : 0.54,0.43",0.0721363969434781,0.0219258342932336,0.0155037776213905,0.0155037788090282,0.5739013976110052,0.5637134112079593
"43 : 0.41,0.54",0.0135465027908502,0.0032854062230406,0.0342745062570385,0.034274511935966,0.5479891063381906,0.5544450413126709
"44 : 0.53,0.46",0.0163912568174317,0.0040217910371247,0.0091815220713722,0.0091815232778094,0.5483015123571571,0.5549131705387282
"45 : 0.53,0.44",0.0246022106502754,0.0062191679630703,0.0135397141953755,0.0135397099485806,0.551922490080312,0.5560589420350177
"46 : 0.44,0.52",0.0958039337306515,0.0353709847028659,0.0742745068281894,0.0742745551254423,0.6045769011473762,0.5775620178417754
"47 : 0.43,0.4",0.036472087499915,0.0094570399261811,0.0278379809696225,0.0278379916911832,0.5352975475980032,0.5463364801868449
"48 : 0.46,0.57",0.1196797295523956,0.0401296640474925,0.0388203762122882,0.0388203778292107,0.5731911421878496,0.5625155162055502
"49 : 0.47,0.4",0.0219256460969519,0.005429771140804,0.0244985303193484,0.0244985349773666,0.5344010107063414,0.5469348128616547
